,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,,,,,,,
15,Arkansas State,31,19,12,0.613,0.77,-4.36,12,8,13,2,5,9,2127,1944,,705,1737,0.406,197,633,0.311,520,762,0.682,392,1143,324,256,95,408,543,5.903225806,36.87096774,10.4516129,13.16129032,17.51612903,8.258064516,3.064516129
16,Arkansas,32,19,13,0.594,9.82,4.97,10,8,17,1,1,9,2358,2203,,852,1960,0.435,192,639,0.3,462,687,0.672,386,1120,475,295,159,372,649,4.84375,35,14.84375,11.625,20.28125,9.21875,4.96875
17,Army,31,16,15,0.516,-1.48,-4.52,8,6,9,4,6,10,2245,2112,,767,1723,0.445,250,675,0.37,461,628,0.734,330,1133,442,160,99,437,601,4.290322581,36.5483871,14.25806452,14.09677419,19.38709677,5.161290323,3.193548387
18,Auburn,32,9,23,0.281,0.21,4.18,3,15,7,10,1,9,2074,2201,,726,1777,0.409,183,589,0.311,439,627,0.7,329,1094,396,222,124,427,657,-3.96875,34.1875,12.375,13.34375,20.53125,6.9375,3.875
19,Austin Peay,31,8,23,0.258,-12.35,-4.31,4,12,5,8,2,12,2218,2371,,783,1714,0.457,226,590,0.383,426,633,0.673,315,1053,455,194,159,502,490,-4.935483871,33.96774194,14.67741935,16.19354839,15.80645161,6.258064516,5.129032258
20,Ball State,30,15,15,0.5,-6.7,-3.15,8,8,8,8,7,6,1957,2041,,656,1542,0.425,177,542,0.327,468,718,0.652,369,1068,355,193,71,455,516,-2.8,35.6,11.83333333,15.16666667,17.2,6.433333333,2.366666667
21,Baylor,37,23,14,0.622,15.07,7.13,9,9,15,5,4,7,2811,2456,,1002,2178,0.46,257,728,0.353,550,796,0.691,443,1387,586,243,166,439,632,9.594594595,37.48648649,15.83783784,11.86486486,17.08108108,6.567567568,4.486486486
22,Belmont,33,26,7,0.788,10.37,-0.96,14,2,13,0,9,4,2533,2129,,906,1844,0.491,279,729,0.383,442,604,0.732,306,1049,516,322,88,440,604,12.24242424,31.78787879,15.63636364,13.33333333,18.3030303,9.757575758,2.666666667
23,Bethune-Cookman,34,14,20,0.412,-9.54,-6.44,7,9,9,4,2,14,2283,2318,,815,1957,0.416,190,620,0.306,463,742,0.624,425,1176,439,246,125,420,698,-1.029411765,34.58823529,12.91176471,12.35294118,20.52941176,7.235294118,3.676470588
24,Binghamton,30,3,27,0.1,-18.52,-3.7,1,15,2,12,1,14,1676,2081,,588,1580,0.372,156,546,0.286,344,533,0.645,303,1056,247,173,74,461,507,-13.5,35.2,8.233333333,15.36666667,16.9,5.766666667,2.466666667
25,Boise State,32,21,11,0.656,9.44,5.27,9,7,14,1,5,8,2343,2095,,824,1790,0.46,249,637,0.391,446,597,0.747,323,1081,423,212,54,385,599,7.75,33.78125,13.21875,12.03125,18.71875,6.625,1.6875
26,Boston College,33,16,17,0.485,6.09,7.03,7,11,12,6,3,7,2215,2246,,750,1701,0.441,234,662,0.353,481,676,0.712,289,1036,404,184,86,376,519,-0.939393939,31.39393939,12.24242424,11.39393939,15.72727273,5.575757576,2.606060606
27,Boston University,30,17,13,0.567,-0.6,-3.93,11,5,9,3,7,9,2035,1935,,739,1647,0.449,240,648,0.37,317,436,0.727,255,962,408,223,53,374,504,3.333333333,32.06666667,13.6,12.46666667,16.8,7.433333333,1.766666667
28,Bowling Green State,32,13,19,0.406,-3.32,-1.75,7,9,11,5,1,12,2010,2033,,753,1795,0.419,158,516,0.306,346,484,0.715,349,1095,385,236,136,410,515,-0.71875,34.21875,12.03125,12.8125,16.09375,7.375,4.25
29,Bradley,35,18,17,0.514,1.25,1.97,7,11,14,4,4,10,2371,2396,,876,2006,0.437,185,580,0.319,434,600,0.723,373,1151,439,318,84,415,615,-0.714285714,32.88571429,12.54285714,11.85714286,17.57142857,9.085714286,2.4
30,Brigham Young,36,24,12,0.667,10.66,3.75,10,6,15,3,7,5,2777,2502,,999,2188,0.457,213,630,0.338,566,777,0.728,431,1396,575,291,89,432,678,7.638888889,38.77777778,15.97222222,12,18.83333333,8.083333333,2.472222222
31,Brown,28,13,15,0.464,-6.33,-3.03,7,7,8,5,5,10,1748,1800,,610,1490,0.409,205,594,0.345,323,512,0.631,306,1002,349,185,103,396,471,-1.857142857,35.78571429,12.46428571,14.14285714,16.82142857,6.607142857,3.678571429
32,Bryant,31,19,12,0.613,-2.08,-4.72,12,6,11,5,8,7,2294,2212,,812,1693,0.48,217,610,0.356,453,627,0.722,303,1055,470,158,35,400,512,2.64516129,34.03225806,15.16129032,12.90322581,16.51612903,5.096774194,1.129032258
33,Bucknell,34,28,6,0.824,6.95,-1.96,12,2,14,1,12,4,2277,1966,,818,1807,0.453,157,438,0.358,484,652,0.742,308,1230,455,118,139,320,498,9.147058824,36.17647059,13.38235294,9.411764706,14.64705882,3.470588235,4.088235294
34,Buffalo,34,14,20,0.412,-1.94,-0.35,7,9,9,6,4,10,2275,2287,,794,1767,0.449,215,620,0.347,472,671,0.703,389,1207,510,188,156,525,632,-0.352941176,35.5,15,15.44117647,18.58823529,5.529411765,4.588235294
35,Butler,36,27,9,0.75,10.99,6.08,11,5,14,2,7,4,2495,2299,,869,1931,0.45,239,688,0.347,518,744,0.696,419,1320,465,206,94,474,644,5.444444444,36.66666667,12.91666667,13.16666667,17.88888889,5.722222222,2.611111111
36,Cal Poly,32,18,14,0.563,-0.46,-0.62,12,6,13,1,4,12,2074,2020,,719,1696,0.424,227,606,0.375,409,564,0.725,336,1008,441,184,55,302,549,1.6875,31.5,13.78125,9.4375,17.15625,5.75,1.71875
37,Cal State Bakersfield,30,14,16,0.467,-6.44,-2.17,0,0,9,4,3,11,2041,2070,,710,1697,0.418,199,591,0.337,422,603,0.7,342,1021,380,221,56,424,610,-0.966666667,34.03333333,12.66666667,14.13333333,20.33333333,7.366666667,1.866666667
38,Cal State Fullerton,32,14,18,0.438,-2.97,-3.03,6,12,6,7,6,10,2451,2381,,855,1819,0.47,266,704,0.378,475,627,0.758,271,954,472,248,52,401,595,2.1875,29.8125,14.75,12.53125,18.59375,7.75,1.625
39,Cal State Northridge,31,14,17,0.452,-3.89,-1.93,5,13,6,7,5,10,2333,2309,,818,1876,0.436,163,485,0.336,534,729,0.733,424,1140,474,262,91,423,605,0.774193548,36.77419355,15.29032258,13.64516129,19.51612903,8.451612903,2.935483871
40,California-Davis,31,14,17,0.452,-3.5,-2.57,9,9,6,7,6,9,2210,2239,,781,1651,0.473,257,635,0.405,391,544,0.719,252,1027,458,144,87,434,533,-0.935483871,33.12903226,14.77419355,14,17.19354839,4.64516129,2.806451613
41,California-Irvine,37,21,16,0.568,0.17,-0.66,11,7,13,1,5,13,2558,2418,,932,2151,0.433,249,746,0.334,445,669,0.665,417,1427,580,181,159,461,651,3.783783784,38.56756757,15.67567568,12.45945946,17.59459459,4.891891892,4.297297297
42,California-Riverside,31,6,25,0.194,-11.49,-1.71,3,15,5,9,1,14,1829,2062,,688,1650,0.417,146,505,0.289,307,527,0.583,347,1090,382,193,91,453,494,-7.516129032,35.16129032,12.32258065,14.61290323,15.93548387,6.225806452,2.935483871
43,California-Santa Barbara,31,11,20,0.355,-4.22,0.4,7,11,8,6,3,13,2003,2090,,703,1676,0.419,247,714,0.346,350,506,0.692,342,1078,457,165,137,447,556,-2.806451613,34.77419355,14.74193548,14.41935484,17.93548387,5.322580645,4.419354839
44,California,33,21,12,0.636,10.65,7.77,12,6,11,5,6,5,2218,2123,,833,1875,0.444,134,443,0.302,418,585,0.715,361,1228,468,192,154,417,549,2.878787879,37.21212121,14.18181818,12.63636364,16.63636364,5.818181818,4.666666667
45,Campbell,33,13,20,0.394,-10.25,-5.55,7,9,8,8,4,9,2284,2395,,855,1921,0.445,135,440,0.307,439,619,0.709,381,1120,461,250,110,456,619,-3.363636364,33.93939394,13.96969697,13.81818182,18.75757576,7.575757576,3.333333333
46,Canisius,34,20,14,0.588,2.37,-0.99,11,7,12,4,8,9,2499,2385,,857,1923,0.446,313,811,0.386,472,659,0.716,400,1172,432,198,111,450,578,3.352941176,34.47058824,12.70588235,13.23529412,17,5.823529412,3.264705882
47,Central Arkansas,30,13,17,0.433,-10.87,-6.12,7,11,8,7,5,8,2294,2359,,856,1967,0.435,214,608,0.352,368,582,0.632,416,1160,423,236,120,432,626,-2.166666667,38.66666667,14.1,14.4,20.86666667,7.866666667,4
48,Central Connecticut State,30,13,17,0.433,-8.24,-4.04,9,9,6,6,7,10,2186,2312,,785,1832,0.428,212,602,0.352,404,552,0.732,311,1037,378,225,130,378,484,-4.2,34.56666667,12.6,12.6,16.13333333,7.5,4.333333333
49,Central Florida,31,20,11,0.645,3.44,0.96,9,7,14,5,5,6,2194,2079,,768,1695,0.453,220,616,0.357,438,680,0.644,373,1134,431,233,141,427,436,3.709677419,36.58064516,13.90322581,13.77419355,14.06451613,7.516129032,4.548387097
50,Central Michigan,31,11,20,0.355,-6.14,-1.21,4,12,6,6,2,13,2092,2226,,680,1664,0.409,250,754,0.332,482,659,0.731,330,979,404,208,65,402,514,-4.322580645,31.58064516,13.03225806,12.96774194,16.58064516,6.709677419,2.096774194
51,Charleston Southern,32,19,13,0.594,-2.07,-5.62,12,4,11,3,6,9,2361,2144,,818,1937,0.422,297,826,0.36,428,605,0.707,427,1254,395,235,87,394,507,6.78125,39.1875,12.34375,12.3125,15.84375,7.34375,2.71875
52,Charlotte,33,21,12,0.636,2.69,2.75,8,8,12,3,5,7,2229,2231,,793,1804,0.44,114,425,0.268,529,809,0.654,422,1243,387,246,103,505,651,-0.060606061,37.66666667,11.72727273,15.3030303,19.72727273,7.454545455,3.121212121
53,Chattanooga,32,13,19,0.406,-10.47,-4.97,8,10,8,9,4,9,2218,2318,,762,1822,0.418,167,561,0.298,527,793,0.665,420,1213,381,220,65,449,570,-3.125,37.90625,11.90625,14.03125,17.8125,6.875,2.03125
54,Chicago State,33,11,22,0.333,-11.77,-4.91,3,5,8,5,2,16,2151,2276,,779,1949,0.4,231,692,0.334,362,498,0.727,369,1093,407,311,94,484,675,-3.787878788,33.12121212,12.33333333,14.66666667,20.45454545,9.424242424,2.848484848
55,Cincinnati,34,22,12,0.647,14.46,6.93,9,9,13,5,4,5,2262,2006,,791,1963,0.403,230,729,0.316,450,696,0.647,488,1351,415,240,208,432,605,7.529411765,39.73529412,12.20588235,12.70588235,17.79411765,7.058823529,6.117647059
56,Citadel,30,8,22,0.267,-16.99,-5.45,5,13,5,8,3,12,1931,2195,,681,1504,0.453,176,488,0.361,393,559,0.703,283,912,452,212,69,465,456,-8.8,30.4,15.06666667,15.5,15.2,7.066666667,2.3
57,Clemson,31,13,18,0.419,5.82,4.44,5,13,8,7,3,9,1907,1864,,697,1643,0.424,157,496,0.317,356,544,0.654,330,1034,334,208,148,355,497,1.387096774,33.35483871,10.77419355,11.4516129,16.03225806,6.709677419,4.774193548
58,Cleveland State,32,14,18,0.438,-7.34,-0.16,5,11,9,5,3,13,2051,2226,,733,1734,0.423,206,601,0.343,379,535,0.708,340,1002,389,233,95,452,627,-5.46875,31.3125,12.15625,14.125,19.59375,7.28125,2.96875
59,Coastal Carolina,29,14,15,0.483,-5.61,-5.22,9,7,12,4,2,11,1943,1840,,714,1626,0.439,130,419,0.31,385,587,0.656,401,1083,308,250,61,410,538,3.551724138,37.34482759,10.62068966,14.13793103,18.55172414,8.620689655,2.103448276
60,Colgate,32,11,21,0.344,-8.73,-2.58,5,9,7,5,3,16,2033,2230,,735,1760,0.418,220,644,0.342,343,485,0.707,290,1129,412,148,91,422,561,-6.15625,35.28125,12.875,13.1875,17.53125,4.625,2.84375
61,College of Charleston,35,24,11,0.686,0.17,-3.86,14,4,10,7,11,2,2297,2176,,803,1819,0.441,209,602,0.347,482,703,0.686,391,1301,392,149,150,467,502,3.457142857,37.17142857,11.2,13.34285714,14.34285714,4.257142857,4.285714286
62,Colorado State,35,26,9,0.743,13.65,5.89,11,5,16,1,6,6,2553,2229,,881,1961,0.449,180,532,0.338,611,855,0.715,493,1400,445,162,74,389,600,9.257142857,40,12.71428571,11.11428571,17.14285714,4.628571429,2.114285714
63,Colorado,33,21,12,0.636,11.95,7.95,10,8,12,3,5,7,2230,2098,,775,1788,0.433,178,517,0.344,502,732,0.686,379,1227,328,230,105,437,525,4,37.18181818,9.939393939,13.24242424,15.90909091,6.96969697,3.181818182
64,Columbia,28,12,16,0.429,-3.25,-3.48,4,10,6,7,5,9,1746,1694,,604,1435,0.421,181,521,0.347,357,479,0.745,260,879,337,172,72,306,521,1.857142857,31.39285714,12.03571429,10.92857143,18.60714286,6.142857143,2.571428571
65,Connecticut,30,20,10,0.667,11.88,7.42,10,8,13,3,4,5,2096,1962,,727,1644,0.442,191,561,0.34,451,607,0.743,276,993,410,224,136,367,486,4.466666667,33.1,13.66666667,12.23333333,16.2,7.466666667,4.533333333
66,Coppin State,32,8,24,0.25,-12.65,-4.2,5,11,4,7,4,15,2035,2277,,687,1878,0.366,243,768,0.316,418,601,0.696,372,1061,328,250,57,472,577,-7.5625,33.15625,10.25,14.75,18.03125,7.8125,1.78125
67,Cornell,31,13,18,0.419,-7.27,-2.37,5,9,4,10,7,8,2040,2168,,732,1727,0.424,208,609,0.342,368,523,0.704,308,1005,364,210,111,412,550,-4.129032258,32.41935484,11.74193548,13.29032258,17.74193548,6.774193548,3.580645161
68,Creighton,36,28,8,0.778,16.44,5.16,13,5,15,2,7,5,2680,2274,,942,1882,0.501,307,742,0.414,489,644,0.759,300,1263,609,174,92,443,588,11.27777778,35.08333333,16.91666667,12.30555556,16.33333333,4.833333333,2.555555556
69,Dartmouth,28,9,19,0.321,-9.21,-3.17,5,9,6,7,3,12,1719,1844,,598,1467,0.408,159,472,0.337,364,499,0.729,274,876,297,195,71,379,530,-4.464285714,31.28571429,10.60714286,13.53571429,18.92857143,6.964285714,2.535714286
70,Davidson,34,26,8,0.765,7.27,-3.45,17,1,12,1,9,4,2490,2110,,837,1813,0.462,256,694,0.369,560,704,0.795,306,1145,473,189,101,371,601,11.17647059,33.67647059,13.91176471,10.91176471,17.67647059,5.558823529,2.970588235
71,Dayton,31,17,14,0.548,9.36,4.27,7,9,13,4,2,8,2225,2067,,786,1656,0.475,182,474,0.384,471,657,0.717,342,1062,433,173,80,450,613,5.096774194,34.25806452,13.96774194,14.51612903,19.77419355,5.580645161,2.580645161
72,Delaware State,33,15,18,0.455,-11.19,-5.9,8,8,8,3,5,12,1997,2094,,709,1731,0.41,183,621,0.295,396,574,0.69,367,1055,326,228,185,453,515,-2.939393939,31.96969697,9.878787879,13.72727273,15.60606061,6.909090909,5.606060606
73,Delaware,33,19,14,0.576,-0.78,-0.81,13,5,9,4,8,7,2276,2275,,776,1833,0.423,144,466,0.309,580,769,0.754,381,1242,319,178,150,418,556,0.03030303,37.63636364,9.666666667,12.66666667,16.84848485,5.393939394,4.545454545
74,Denver,32,22,10,0.688,9.2,0.26,16,2,14,2,8,7,2076,1790,,739,1540,0.48,252,672,0.375,346,481,0.719,200,802,516,288,145,357,557,8.9375,25.0625,16.125,11.15625,17.40625,9,4.53125
75,DePaul,32,11,21,0.344,1.71,5.61,2,16,7,10,4,8,2284,2409,,847,1951,0.434,155,518,0.299,435,618,0.704,383,1095,440,265,133,457,612,-3.90625,34.21875,13.75,14.28125,19.125,8.28125,4.15625
76,Detroit Mercy,33,20,13,0.606,6.71,1.62,12,4,13,2,7,10,2568,2340,,908,1991,0.456,234,685,0.342,518,711,0.729,374,1086,481,273,112,360,588,6.909090909,32.90909091,14.57575758,10.90909091,17.81818182,8.272727273,3.393939394
77,Drake,32,15,17,0.469,3.43,5.14,7,11,9,6,4,7,2296,2319,,775,1732,0.447,279,720,0.388,467,651,0.717,257,1009,433,183,70,440,625,-0.71875,31.53125,13.53125,13.75,19.53125,5.71875,2.1875
78,Drexel,31,13,18,0.419,-1.08,-0.98,9,9,5,8,7,7,1953,1956,,680,1651,0.412,181,540,0.335,412,553,0.745,347,1054,363,158,58,366,579,-0.096774194,34,11.70967742,11.80645161,18.67741935,5.096774194,1.870967742
79,Duke,36,30,6,0.833,21.43,9.54,14,4,16,0,5,4,2778,2350,,960,2033,0.472,270,676,0.399,588,796,0.739,337,1208,515,232,135,383,645,11.88888889,33.55555556,14.30555556,10.63888889,17.91666667,6.444444444,3.75
80,Duquesne,30,8,22,0.267,-4.54,3.5,1,15,6,9,2,12,2028,2269,,714,1747,0.409,244,722,0.338,356,553,0.644,348,1076,383,156,107,437,523,-8.033333333,35.86666667,12.76666667,14.56666667,17.43333333,5.2,3.566666667
81,East Carolina,35,23,12,0.657,2.56,0.81,9,7,17,4,6,7,2679,2484,,922,2039,0.452,274,784,0.349,561,784,0.716,375,1256,603,279,156,444,618,5.571428571,35.88571429,17.22857143,12.68571429,17.65714286,7.971428571,4.457142857
82,East Tennessee State,32,10,22,0.313,-13.15,-2.25,8,10,5,8,5,10,1994,2284,,708,1751,0.404,208,637,0.327,370,554,0.668,312,986,323,203,71,423,512,-9.0625,30.8125,10.09375,13.21875,16,6.34375,2.21875
83,Eastern Illinois,32,11,21,0.344,-8.93,-5.09,6,10,5,9,4,11,1933,2055,,691,1582,0.437,192,548,0.35,359,541,0.664,302,953,420,207,67,413,529,-3.8125,29.78125,13.125,12.90625,16.53125,6.46875,2.09375
84,Eastern Kentucky,35,25,10,0.714,1.66,-3.92,12,4,15,1,9,8,2586,2303,,888,1903,0.467,307,865,0.355,503,644,0.781,307,963,522,310,76,414,679,8.085714286,27.51428571,14.91428571,11.82857143,19.4,8.857142857,2.171428571
85,Eastern Michigan,34,16,18,0.471,-6.25,-1.25,7,9,13,5,2,12,1926,2011,,702,1751,0.401,165,500,0.33,357,533,0.67,402,1138,364,269,169,473,571,-2.5,33.47058824,10.70588235,13.91176471,16.79411765,7.911764706,4.970588235
86,Eastern Washington,31,10,21,0.323,-10.77,-5.48,7,13,7,7,2,13,2146,2310,,751,1811,0.415,264,775,0.341,380,580,0.655,342,1113,414,164,176,416,571,-5.290322581,35.90322581,13.35483871,13.41935484,18.41935484,5.290322581,5.677419355
87,Elon,33,21,12,0.636,-3.58,-5.19,13,5,12,3,8,8,2273,2144,,814,1884,0.432,258,749,0.344,387,543,0.713,303,1140,447,218,113,385,558,3.909090909,34.54545455,13.54545455,11.66666667,16.90909091,6.606060606,3.424242424
88,Evansville,36,21,15,0.583,5.26,2.91,10,8,15,3,5,11,2490,2374,,900,2056,0.438,207,566,0.366,483,652,0.741,378,1208,574,213,106,405,635,3.222222222,33.55555556,15.94444444,11.25,17.63888889,5.916666667,2.944444444
89,Fairfield,35,19,16,0.543,-0.55,-2,9,9,7,5,7,10,2122,2071,,779,1843,0.423,199,629,0.316,365,533,0.685,388,1167,445,248,134,471,690,1.457142857,33.34285714,12.71428571,13.45714286,19.71428571,7.085714286,3.828571429
90,Fairleigh Dickinson,31,7,24,0.226,-18,-4.65,2,16,2,10,3,14,2034,2448,,724,1675,0.432,190,543,0.35,396,590,0.671,274,953,404,179,101,486,571,-13.35483871,30.74193548,13.03225806,15.67741935,18.41935484,5.774193548,3.258064516
91,Florida A&M,31,8,23,0.258,-16.14,-6.21,5,11,6,4,1,17,2015,2235,,732,1849,0.396,171,560,0.305,380,606,0.627,393,1091,340,256,103,485,608,-7.096774194,35.19354839,10.96774194,15.64516129,19.61290323,8.258064516,3.322580645
92,Florida Atlantic,32,14,18,0.438,-5.88,-2.49,9,11,11,4,3,13,2092,2164,,732,1735,0.422,195,541,0.36,433,618,0.701,363,1168,322,167,165,488,580,-2.25,36.5,10.0625,15.25,18.125,5.21875,5.15625
93,Florida Gulf Coast,37,26,11,0.703,2.76,-2.07,13,5,15,1,6,9,2696,2469,,976,2112,0.462,247,722,0.342,497,736,0.675,412,1340,523,331,139,544,649,6.135135135,36.21621622,14.13513514,14.7027027,17.54054054,8.945945946,3.756756757
94,Florida International,32,18,14,0.563,-2.08,-2.11,11,9,10,3,6,10,2210,2209,,766,1794,0.427,224,672,0.333,454,642,0.707,353,1045,369,299,87,484,603,0.03125,32.65625,11.53125,15.125,18.84375,9.34375,2.71875
95,Florida State,34,18,16,0.529,5.67,7.23,9,9,10,8,3,7,2278,2331,,780,1758,0.444,196,563,0.348,522,710,0.735,322,1052,385,210,172,497,601,-1.558823529,30.94117647,11.32352941,14.61764706,17.67647059,6.176470588,5.058823529
96,Florida,37,29,8,0.784,23.86,6.83,14,4,15,0,7,5,2642,2012,,960,2010,0.478,300,794,0.378,422,623,0.677,394,1297,540,265,120,414,518,17.02702703,35.05405405,14.59459459,11.18918919,14,7.162162162,3.243243243
97,Fordham,31,7,24,0.226,-6.9,4.59,3,13,4,7,1,15,1997,2353,,718,1785,0.402,168,540,0.311,393,583,0.674,416,1165,377,153,127,485,630,-11.48387097,37.58064516,12.16129032,15.64516129,20.32258065,4.935483871,4.096774194
98,Fresno State,30,11,19,0.367,3.31,6.56,5,11,6,8,5,10,1798,1829,,610,1566,0.39,182,523,0.348,396,593,0.668,319,969,275,216,104,348,582,-1.033333333,32.3,9.166666667,11.6,19.4,7.2,3.466666667
99,Furman,31,7,24,0.226,-17.46,-5.29,3,15,5,9,1,14,1869,2180,,644,1580,0.408,189,565,0.335,392,568,0.69,294,974,340,164,116,451,483,-10.03225806,31.41935484,10.96774194,14.5483871,15.58064516,5.290322581,3.741935484
100,Gardner-Webb,34,21,13,0.618,-3.22,-5.93,11,5,12,3,6,9,2236,2066,,791,1871,0.423,190,583,0.326,464,649,0.715,420,1204,438,267,90,459,584,5,35.41176471,12.88235294,13.5,17.17647059,7.852941176,2.647058824
101,George Mason,38,22,16,0.579,2.01,-0.17,10,8,10,7,8,6,2587,2504,,922,2112,0.437,203,587,0.346,540,745,0.725,448,1322,473,280,103,516,773,2.184210526,34.78947368,12.44736842,13.57894737,20.34210526,7.368421053,2.710526316
102,George Washington,30,13,17,0.433,4.22,3.49,7,9,7,7,5,9,1988,1966,,732,1660,0.441,84,301,0.279,440,670,0.657,401,1129,403,233,147,477,528,0.733333333,37.63333333,13.43333333,15.9,17.6,7.766666667,4.9
103,Georgetown,32,25,7,0.781,15.84,7.59,14,4,16,1,6,3,2070,1806,,737,1627,0.453,189,536,0.353,407,599,0.679,297,1060,474,240,123,407,556,8.25,33.125,14.8125,12.71875,17.375,7.5,3.84375
104,Georgia Southern,33,14,19,0.424,-9.67,-5.02,7,11,7,6,5,11,2050,2148,,721,1721,0.419,185,542,0.341,423,615,0.688,341,1057,318,227,73,435,600,-2.96969697,32.03030303,9.636363636,13.18181818,18.18181818,6.878787879,2.212121212
105,Georgia State,31,15,16,0.484,-2.04,-2.4,10,8,9,7,6,9,2114,2075,,739,1685,0.439,219,611,0.358,417,586,0.712,302,985,362,240,127,358,532,1.258064516,31.77419355,11.67741935,11.5483871,17.16129032,7.741935484,4.096774194
106,Georgia Tech,31,16,15,0.516,6.6,4.67,6,12,11,6,3,7,1993,1933,,751,1791,0.419,173,544,0.318,318,501,0.635,366,1155,394,182,129,399,517,1.935483871,37.25806452,12.70967742,12.87096774,16.67741935,5.870967742,4.161290323
107,Georgia,32,15,17,0.469,5.31,6.09,9,9,12,6,3,8,1946,1971,,636,1557,0.408,188,526,0.357,486,700,0.694,333,1132,371,180,133,466,541,-0.78125,35.375,11.59375,14.5625,16.90625,5.625,4.15625
108,Gonzaga,35,32,3,0.914,20.47,4.18,16,0,15,1,10,1,2696,2095,,961,1934,0.497,226,609,0.371,548,777,0.705,409,1310,530,277,96,393,551,17.17142857,37.42857143,15.14285714,11.22857143,15.74285714,7.914285714,2.742857143
